name,type,manufacturer,first_flight,status,range_km,cruise_speed_kmh,max_speed_kmh,capacity_passengers,crew,length_m,wingspan_m,era,mission,key_features,design_philosophy,short_description
Huff-Daland Duster Petrel 31,aircraft,,,Active,,,,,,,,Various,aircraft,Agricultural aircraft of the Huff-Daland Aero Company from 1924,Wikipedia-sourced via Wikidata,Agricultural aircraft of the Huff-Daland Aero Company from 1924
PS-1,aircraft,,,Active,,,,,,,,Various,aircraft,Polish sports plane,Wikipedia-sourced via Wikidata,Polish sports plane
Cierva autogyros in Sweden,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Cierva autogyros in Sweden. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Cierva autogyros in Sweden. Source: Wikidata (links to Wikipedia).
Solar Impulse 2,aircraft,,,Active,,,,,,,,Various,aircraft,Langstrecken-Solarflugzeug,Wikipedia-sourced via Wikidata,Langstrecken-Solarflugzeug
Breguet RU1 - CnAM 14430,aircraft,Salmson,,Active,,,,,,,,Various,aircraft,Aircraft: Breguet RU1 - CnAM 14430. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Breguet RU1 - CnAM 14430. Source: Wikidata (links to Wikipedia).
Eagle 1,aircraft,,,Active,,,,,,,,Various,aircraft,Airplane used by FRONTEX,Wikipedia-sourced via Wikidata,Airplane used by FRONTEX
Airborne,aircraft,,,Active,,,,,,,,Various,aircraft,SeaWatch Airplane,Wikipedia-sourced via Wikidata,SeaWatch Airplane
Seabird,aircraft,,,Active,,,,,,,,Various,aircraft,SeaWatch airplane,Wikipedia-sourced via Wikidata,SeaWatch airplane
JA01AM,aircraft,ATR,,Active,,,,,,,,Various,aircraft,ATR 42-600 aircraft with serial number 1202 operated by Amakusa Airlines,Wikipedia-sourced via Wikidata,ATR 42-600 aircraft with serial number 1202 operated by Amakusa Airlines
JA81AM,aircraft,Bombardier,,Active,,,,,,,,Various,aircraft,DHC-8-100 aircraft with serial number 537 operated by Amakusa Airlines,Wikipedia-sourced via Wikidata,DHC-8-100 aircraft with serial number 537 operated by Amakusa Airlines
80-1111,aircraft,Boeing,,Active,,,,,,,,Various,aircraft,Japanese Air Force One of B777-300ER aircraft with serial number 62439/1422 operated by JASDF,Wikipedia-sourced via Wikidata,Japanese Air Force One of B777-300ER aircraft with serial number 62439/1422 operated by JASDF
80-1112,aircraft,Boeing,,Active,,,,,,,,Various,aircraft,Japanese Air Force One of B777-300ER aircraft with serial number 62440/1464 operated by JASDF,Wikipedia-sourced via Wikidata,Japanese Air Force One of B777-300ER aircraft with serial number 62440/1464 operated by JASDF
JA82RC,aircraft,Bombardier,,Active,,,,,,,,Various,aircraft,DHC-8-400 aircraft with serial number 4519 operated by Ryukyu Air Commuter,Wikipedia-sourced via Wikidata,DHC-8-400 aircraft with serial number 4519 operated by Ryukyu Air Commuter
JA84RC,aircraft,Bombardier,,Active,,,,,,,,Various,aircraft,DHC-8-400 aircraft with serial number 4550 operated by Ryukyu Air Commuter,Wikipedia-sourced via Wikidata,DHC-8-400 aircraft with serial number 4550 operated by Ryukyu Air Commuter
JA83RC,aircraft,Bombardier,,Active,,,,,,,,Various,aircraft,DHC-8-400 aircraft with serial number 4545 operated by Ryukyu Air Commuter,Wikipedia-sourced via Wikidata,DHC-8-400 aircraft with serial number 4545 operated by Ryukyu Air Commuter
JA801B,aircraft,Bombardier,,Active,,,,,,,,Various,aircraft,DHC-8-200 aircraft with serial number 566 operated by Oriental Air Bridge,Wikipedia-sourced via Wikidata,DHC-8-200 aircraft with serial number 566 operated by Oriental Air Bridge
JA802B,aircraft,Bombardier,,Active,,,,,,,,Various,aircraft,DHC-8-200 aircraft with serial number 579 operated by Oriental Air Bridge,Wikipedia-sourced via Wikidata,DHC-8-200 aircraft with serial number 579 operated by Oriental Air Bridge
JA8119,aircraft,Boeing,,Active,,,,,,,,Various,aircraft,Boeing 747SR-46 (serial number 20783/230) operated by Japan Airlines,Wikipedia-sourced via Wikidata,Boeing 747SR-46 (serial number 20783/230) operated by Japan Airlines
N787BA,aircraft,Boeing,,Active,,,,,,,,Various,aircraft,B787-8 aircraft with serial number 40690/1 operated by Boeing,Wikipedia-sourced via Wikidata,B787-8 aircraft with serial number 40690/1 operated by Boeing
N747BC,transport,Evergreen Aviation Technologies,,Active,,,,,,,,Various,transport,B747-LCF (Dreamlifter) aircraft with serial number 25879/904 operated by Boeing,Wikipedia-sourced via Wikidata,B747-LCF (Dreamlifter) aircraft with serial number 25879/904 operated by Boeing
N780BA,transport,Evergreen Aviation Technologies,,Active,,,,,,,,Various,transport,B747-LCF (Dreamlifter) aircraft with serial number 24310/778 operated by Boeing,Wikipedia-sourced via Wikidata,B747-LCF (Dreamlifter) aircraft with serial number 24310/778 operated by Boeing
N249BA,transport,Evergreen Aviation Technologies,,Active,,,,,,,,Various,transport,B747-LCF (Dreamlifter) aircraft with serial number 24309/766 operated by Boeing,Wikipedia-sourced via Wikidata,B747-LCF (Dreamlifter) aircraft with serial number 24309/766 operated by Boeing
N718BA,transport,Evergreen Aviation Technologies,,Active,,,,,,,,Various,transport,B747-LCF (Dreamlifter) aircraft with serial number 27042/932 operated by Boeing,Wikipedia-sourced via Wikidata,B747-LCF (Dreamlifter) aircraft with serial number 27042/932 operated by Boeing
Klemm Kl 27,aircraft,Klemm,1929,Active,,,,,,,,Various,aircraft,Aircraft: Klemm Kl 27. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Klemm Kl 27. Source: Wikidata (links to Wikipedia).
Mummert Mini-plane,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Mummert Mini-plane. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Mummert Mini-plane. Source: Wikidata (links to Wikipedia).
Volocopter VoloConnect,aircraft,Volocopter,,Active,,,,,,,,Various,aircraft,eVTOL,Wikipedia-sourced via Wikidata,eVTOL
Bölkow Bo 208,aircraft,Bölkow,1958,Active,,,,,,,,Various,aircraft,single engine type of aircraft,Wikipedia-sourced via Wikidata,single engine type of aircraft
"The MiG 21 F96, No. 5121",aircraft,Russian Aircraft Corporation MiG,,Active,,,,,,15.5,7.15,Various,aircraft,Aircraft from Operation Linebacker II,Wikipedia-sourced via Wikidata,Aircraft from Operation Linebacker II
Chammae,aircraft,Ilyushin,,Active,,,,,,,,Various,aircraft,Aircraft: Chammae. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Chammae. Source: Wikidata (links to Wikipedia).
Airbus A380 of All Nippon Airways,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Airbus A380 of All Nippon Airways. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Airbus A380 of All Nippon Airways. Source: Wikidata (links to Wikipedia).
Lavaud S. Paulo,aircraft,,,Active,,,,,,,,Various,aircraft,Brazilian aircraft,Wikipedia-sourced via Wikidata,Brazilian aircraft
"Douglas DC-3 Airplane, N34",aircraft,,,Active,,,,,,,,Various,aircraft,"airplace in Amarillo, Potter County, Texas",Wikipedia-sourced via Wikidata,"airplace in Amarillo, Potter County, Texas"
DDR-SEG,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: DDR-SEG. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: DDR-SEG. Source: Wikidata (links to Wikipedia).
RA-64523,aircraft,Kazan Aircraft Production Association,,Active,,,,,,,,Various,aircraft,Aircraft: RA-64523. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: RA-64523. Source: Wikidata (links to Wikipedia).
RA-96022,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: RA-96022. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: RA-96022. Source: Wikidata (links to Wikipedia).
RA-96023,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: RA-96023. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: RA-96023. Source: Wikidata (links to Wikipedia).
Tu-134A-3,airliner,,,Active,,,,,,,,Various,airliner,Aircraft: Tu-134A-3. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Tu-134A-3. Source: Wikidata (links to Wikipedia).
Ilyushin IL-96-300PU(M) (RA-96016),aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Ilyushin IL-96-300PU(M) (RA-96016). Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Ilyushin IL-96-300PU(M) (RA-96016). Source: Wikidata (links to Wikipedia).
IL-96-300S (RA-96017),aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: IL-96-300S (RA-96017). Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: IL-96-300S (RA-96017). Source: Wikidata (links to Wikipedia).
Ilyushin IL-96-300 (RA-96018),aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Ilyushin IL-96-300 (RA-96018). Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Ilyushin IL-96-300 (RA-96018). Source: Wikidata (links to Wikipedia).
IL-96-300 (RA-96019),aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: IL-96-300 (RA-96019). Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: IL-96-300 (RA-96019). Source: Wikidata (links to Wikipedia).
Airbus A319-115(CJ),aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Airbus A319-115(CJ). Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Airbus A319-115(CJ). Source: Wikidata (links to Wikipedia).
Gulfstream G650 - OE-LUC,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Gulfstream G650 - OE-LUC. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Gulfstream G650 - OE-LUC. Source: Wikidata (links to Wikipedia).
Gulfstream G550 - OE-IPE,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Gulfstream G550 - OE-IPE. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Gulfstream G550 - OE-IPE. Source: Wikidata (links to Wikipedia).
The MiG-21-F94 No. 4324,aircraft,Russian Aircraft Corporation MiG,,Active,,,,,,,,Various,aircraft,Vietnam Army aircraft,Wikipedia-sourced via Wikidata,Vietnam Army aircraft
Airbus A319-115(CJ) P4-MIS,aircraft,Airbus SAS,,Active,,,,,,,,Various,aircraft,Aircraft: Airbus A319-115(CJ) P4-MIS. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Airbus A319-115(CJ) P4-MIS. Source: Wikidata (links to Wikipedia).
Airbus A340-313 M-IABU,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Airbus A340-313 M-IABU. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Airbus A340-313 M-IABU. Source: Wikidata (links to Wikipedia).
Caspar C 17,aircraft,Caspar-Werke,1924,Active,,,125,,,5,12,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Maurice Farman MF4,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Maurice Farman MF4. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Maurice Farman MF4. Source: Wikidata (links to Wikipedia).
Ikarus 232,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Ikarus 232. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Ikarus 232. Source: Wikidata (links to Wikipedia).
Tu-136,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Tu-136. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Tu-136. Source: Wikidata (links to Wikipedia).
Bréguet 23,aircraft,,,Active,,,,,,,,Various,aircraft,French aircraft,Wikipedia-sourced via Wikidata,French aircraft
Działowski D.K.D.3,aircraft,,1927,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Ilyushin Il-14 at Cämmerswalde,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Ilyushin Il-14 at Cämmerswalde. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Ilyushin Il-14 at Cämmerswalde. Source: Wikidata (links to Wikipedia).
Moonbird,aircraft,,,Active,,,,,,,,Various,aircraft,rescue aircraft,Wikipedia-sourced via Wikidata,rescue aircraft
Ikarus 453,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Ikarus 453. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Ikarus 453. Source: Wikidata (links to Wikipedia).
Anatra Anamon,aircraft,,,Active,,,,,,,,Various,aircraft,WWI Russian prototype fighter aircraft,Wikipedia-sourced via Wikidata,WWI Russian prototype fighter aircraft
Blériot 73,aircraft,Louis Blériot,,Active,,,,,,,,Various,aircraft,French WW1 bomber aircraft,Wikipedia-sourced via Wikidata,French WW1 bomber aircraft
Borel-Boccacio Type 3000,aircraft,,,Active,,,,,,,,Various,aircraft,1910s French fighter aircraft,Wikipedia-sourced via Wikidata,1910s French fighter aircraft
Couzinet 30,aircraft,,,Active,,,,,,,,Various,aircraft,French mailplane,Wikipedia-sourced via Wikidata,French mailplane
Oeffag C.I,aircraft,,1915,Active,,,,,,,,Various,aircraft,WWI Austria-Hungary military reconnaissance aircraft,Wikipedia-sourced via Wikidata,WWI Austria-Hungary military reconnaissance aircraft
Pfalz Dr.II,aircraft,Pfalz-Flugzeugwerke,1917,Active,,,,,,,,Various,aircraft,WWI German fighter,Wikipedia-sourced via Wikidata,WWI German fighter
Schütte-Lanz C.I,aircraft,Schütte-Lanz,,Active,,,,,,,,Various,aircraft,WWI German reconnaissance aircraft,Wikipedia-sourced via Wikidata,WWI German reconnaissance aircraft
Bullet Monoplane,aircraft,Alexander Aircraft Company,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
PZL M19,aircraft,,,Active,,,,,,,,Various,aircraft,Polish passenger aircraft,Wikipedia-sourced via Wikidata,Polish passenger aircraft
Blériot-SPAD S.25,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Ny-4,aircraft,Plage i Laśkiewicz,,Active,,,,,,,,Various,aircraft,Polish sports plane,Wikipedia-sourced via Wikidata,Polish sports plane
J-2 Polonez,aircraft,,1977,Active,,,,,,,,Various,aircraft,airplane,Wikipedia-sourced via Wikidata,airplane
J-3 Orzeł,aircraft,,,Active,,,,,,,,Various,aircraft,Ultralight aviation,Wikipedia-sourced via Wikidata,Ultralight aviation
J-4 Solidarność,aircraft,,,Active,,,,,,,,Various,aircraft,Polish light aircraft project,Wikipedia-sourced via Wikidata,Polish light aircraft project
Beneš-Mráz Be-52,aircraft,Beneš-Mráz,1936,Active,600,,200,,,7,10.66,Various,aircraft,Aircraft: Beneš-Mráz Be-52. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Beneš-Mráz Be-52. Source: Wikidata (links to Wikipedia).
Hanriot HD.18,aircraft,,,Active,,,,,,,,Various,aircraft,1920s French aircraft,Wikipedia-sourced via Wikidata,1920s French aircraft
Hanriot HD.22,aircraft,,,Active,,,,,,,,Various,aircraft,1920s French aircraft,Wikipedia-sourced via Wikidata,1920s French aircraft
Hanriot HD.24,aircraft,,,Active,,,,,,,,Various,aircraft,1920s French aircraft,Wikipedia-sourced via Wikidata,1920s French aircraft
Gotha LD 5,aircraft,,,Active,,,,,,,,Various,aircraft,German WWI aicraft,Wikipedia-sourced via Wikidata,German WWI aicraft
LFG V 58,aircraft,Luft-Fahrzeug-Gesellschaft,1926,Active,,,130,,,6.7,10,Various,aircraft,1920s German aircraft,Wikipedia-sourced via Wikidata,1920s German aircraft
Caspar C 26,aircraft,Caspar-Werke,1925,Active,,,,,,,,Various,aircraft,1920s German aircraft,Wikipedia-sourced via Wikidata,1920s German aircraft
Tupolev ANT-17,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Beneš-Mráz Be-56 Beta-Major,aircraft,Beneš-Mráz,1936,Active,600,,210,,,7.55,10.66,Various,aircraft,1930s Czech aircraft,Wikipedia-sourced via Wikidata,1930s Czech aircraft
Morane-Saulnier MS.224,aircraft,,,Active,,,,,,,,Various,aircraft,1930s French prototype fighter aircraft,Wikipedia-sourced via Wikidata,1930s French prototype fighter aircraft
Farman HF.6,aircraft,Farman Aviation Works,1911,Active,,,,,,,,Various,aircraft,1910s French reconnaissance aircraft,Wikipedia-sourced via Wikidata,1910s French reconnaissance aircraft
Farman HF.7,aircraft,Farman Aviation Works,1912,Active,,,,,,,,Various,aircraft,1910s French reconnaissance aircraft,Wikipedia-sourced via Wikidata,1910s French reconnaissance aircraft
Caproni Ca.72,aircraft,Caproni,,Active,,,,,,,,Various,aircraft,Italian 1920s bomber aircraft,Wikipedia-sourced via Wikidata,Italian 1920s bomber aircraft
Hanriot H.33,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Convair Model 200,aircraft,Convair,,Active,,,,,,,,Various,aircraft,American VTOL fighter proposal,Wikipedia-sourced via Wikidata,American VTOL fighter proposal
Convair Model 21,aircraft,Convair,,Active,,,,,,,,Various,aircraft,Aircraft: Convair Model 21. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Convair Model 21. Source: Wikidata (links to Wikipedia).
Independence,aircraft,,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
LFG V 130,aircraft,Luft-Fahrzeug-Gesellschaft,1924,Active,,,,,,,,Various,aircraft,Aircraft: LFG V 130. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: LFG V 130. Source: Wikidata (links to Wikipedia).
Laird Swallow,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Laird Swallow. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Laird Swallow. Source: Wikidata (links to Wikipedia).
Thulin NA,aircraft,AB Thulinverken,,Active,,,,,,,,Various,aircraft,1910s Swedish aircraft,Wikipedia-sourced via Wikidata,1910s Swedish aircraft
Udet U 2,aircraft,,,Active,,,,,,,,Various,aircraft,two-seat sport aircraft built in Germany in the early 1920s,Wikipedia-sourced via Wikidata,two-seat sport aircraft built in Germany in the early 1920s
TL-1,aircraft,,1980,Active,,,,,,,,Various,aircraft,Vietnamese plane,Wikipedia-sourced via Wikidata,Vietnamese plane
N702,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: N702. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: N702. Source: Wikidata (links to Wikipedia).
Nextz,aircraft,,,Active,,,,,,,,Various,aircraft,Japanese plane,Wikipedia-sourced via Wikidata,Japanese plane
Kawasaki Ki-108,aircraft,Kawasaki Heavy Industries,,Active,,,,,,,,Various,aircraft,Aircraft: Kawasaki Ki-108. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Kawasaki Ki-108. Source: Wikidata (links to Wikipedia).
PZL M-99 Orkan,aircraft,PZL,,Active,,,,,,,,Various,aircraft,Polish attack aircraft,Wikipedia-sourced via Wikidata,Polish attack aircraft
RWD-16 bis,aircraft,Doświadczalne Warsztaty Lotnicze,,Active,,,,,,,,Various,aircraft,Polish sports airplane,Wikipedia-sourced via Wikidata,Polish sports airplane
Kulhia MK 2,aircraft,Mikko Kulhia,1931,Active,,,,,,5.4,7.1,Various,aircraft,Aircraft: Kulhia MK 2. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Kulhia MK 2. Source: Wikidata (links to Wikipedia).
Kulhia MK 1b,aircraft,Mikko Kulhia,1930,Active,,,,,,,,Various,aircraft,Aircraft: Kulhia MK 1b. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Kulhia MK 1b. Source: Wikidata (links to Wikipedia).
An-26 Vita,aircraft,state-owned enterprise,,Active,,,,,,,,Various,aircraft,Aircraft: An-26 Vita. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: An-26 Vita. Source: Wikidata (links to Wikipedia).
KB-2UT,aircraft,Kaproni Bulgarski,1933,Active,,,,,,,,Various,aircraft,Bulgarian training aircraft,Wikipedia-sourced via Wikidata,Bulgarian training aircraft
Blériot-SPAD S.60,aircraft,,,Active,,,,,,,,Various,aircraft,1920s French fighter aircraft,Wikipedia-sourced via Wikidata,1920s French fighter aircraft
Republic of Korea Air Force One,aircraft,,,Active,,,,,,,,Various,aircraft,aircraft carrying president of South Korea,Wikipedia-sourced via Wikidata,aircraft carrying president of South Korea
Bell XP-59,aircraft,Bell Aircraft Corporation,,Active,,,,,,,,Various,aircraft,"planned American fighter from WWII, not to be confused with Bell P-59 Airacomet which used the same designation",Wikipedia-sourced via Wikidata,"planned American fighter from WWII, not to be confused with Bell P-59 Airacomet which used the same designation"
Antonov An-10A,aircraft,,,Active,,,,,,,,Various,aircraft,four-engined turboprop airliner,Wikipedia-sourced via Wikidata,four-engined turboprop airliner
An-10V Ukraina,aircraft,,1963,Active,,,,,,,,Various,aircraft,high density airliner,Wikipedia-sourced via Wikidata,high density airliner
Albatross W 2,aircraft,Albatros,1916,Active,,,,,,8,12,Various,aircraft,Aircraft: Albatross W 2. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Albatross W 2. Source: Wikidata (links to Wikipedia).
153,aircraft,EADS EFW,,Active,,,,,,,,Various,aircraft,German passenger aircraft,Wikipedia-sourced via Wikidata,German passenger aircraft
VEB Flugzeugwerke 155,aircraft,EADS EFW,,Active,,,,,,,,Various,aircraft,Aircraft: VEB Flugzeugwerke 155. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: VEB Flugzeugwerke 155. Source: Wikidata (links to Wikipedia).
Raab-Katzenstein RK 7,aircraft,Raab-Katzenstein,1927,Active,,,,,,,,Various,aircraft,Aircraft: Raab-Katzenstein RK 7. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Raab-Katzenstein RK 7. Source: Wikidata (links to Wikipedia).
World War II military equipment of Germany,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: World War II military equipment of Germany. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: World War II military equipment of Germany. Source: Wikidata (links to Wikipedia).
Moskalyev SAM-25,aircraft,,1943,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Hopfner HS-5/28,aircraft,,1928,Active,830,,148,,,7,11.26,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
North Wing Sport X2,aircraft,North Wing Design,,Active,,,,,,,,Various,aircraft,American ultralight trike,Wikipedia-sourced via Wikidata,American ultralight trike
Kompol Jazz,aircraft,Kompol (Poland),,Active,,,,,,,,Various,aircraft,:Polish ultralight trike,Wikipedia-sourced via Wikidata,:Polish ultralight trike
Krasniye Kryl'ya Deltacraft MD-40,aircraft,,,Active,,,,,,,,Various,aircraft,Russian ultralight trike,Wikipedia-sourced via Wikidata,Russian ultralight trike
Krasniye Kryl'ya Deltacraft MD-50C,aircraft,,,Active,,,,,,,,Various,aircraft,Russian ultralight trike,Wikipedia-sourced via Wikidata,Russian ultralight trike
Schmidtler Enduro,aircraft,,,Active,,,,,,,,Various,aircraft,German ultralight trike,Wikipedia-sourced via Wikidata,German ultralight trike
Sea and Sky Cygnet,aircraft,,,Active,,,,,,,,Various,aircraft,American ultralight trike,Wikipedia-sourced via Wikidata,American ultralight trike
Pagotto Brako,aircraft,,,Active,,,,,,,,Various,aircraft,Italian ultralight trike,Wikipedia-sourced via Wikidata,Italian ultralight trike
Parazoom Trio-Star Delta,aircraft,,,Active,,,,,,,,Various,aircraft,German ultralight aircraft,Wikipedia-sourced via Wikidata,German ultralight aircraft
Ullmann 2000 Panther,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Phoenix Skyblazer,aircraft,,,Active,,,,,,,,Various,aircraft,American helicopter,Wikipedia-sourced via Wikidata,American helicopter
Polaris AM-FIB,aircraft,,,Active,,,,,,,,Various,aircraft,Italian amphibious ultralight trike,Wikipedia-sourced via Wikidata,Italian amphibious ultralight trike
PowerTrike Evolution,aircraft,,,Active,,,,,,,,Various,aircraft,German ultralight trike,Wikipedia-sourced via Wikidata,German ultralight trike
PowerTrike II,aircraft,,,Active,,,,,,,,Various,aircraft,German ultralight trike,Wikipedia-sourced via Wikidata,German ultralight trike
Powrachute Sky Rascal,aircraft,,,Active,,,,,,,,Various,aircraft,American powered parachute,Wikipedia-sourced via Wikidata,American powered parachute
Quander Airpfeil,aircraft,,,Active,,,,,,,,Various,aircraft,German ultralight trike,Wikipedia-sourced via Wikidata,German ultralight trike
Blériot XXIII,aircraft,Blériot,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
St Croix Pietenpol Aerial,aircraft,St Croix Aircraft,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Bradley Aerobat,aircraft,Bradley Aerospace,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
St Croix Pietenpol Aircamper,aircraft,St Croix Aircraft,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
American Electric Piranha,aircraft,,,Active,,,,,,,,Various,aircraft,counter-insurgency aircraft,Wikipedia-sourced via Wikidata,counter-insurgency aircraft
Butterfly Banty,aircraft,,,Active,,,,,,,,Various,aircraft,American ultralight aircraft,Wikipedia-sourced via Wikidata,American ultralight aircraft
ICP Amigo,aircraft,,,Active,,,,,,,,Various,aircraft,Italian homebuilt aircraft,Wikipedia-sourced via Wikidata,Italian homebuilt aircraft
Swanson Coupe,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Daytona Aircraft D-200,aircraft,,,Active,,,,,,,,Various,aircraft,series of American training aircraft developed by Daytona Aircraft,Wikipedia-sourced via Wikidata,series of American training aircraft developed by Daytona Aircraft
Davis DA-1,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Harmon Der Donnerschlag,aircraft,Harmon Engineering Company,,Active,,,,,,,,Various,aircraft,American homebuilt aircraft,Wikipedia-sourced via Wikidata,American homebuilt aircraft
Rihn DR-107 One Design,aircraft,Aircraft Spruce & Specialty Co,,Active,,,,,,,,Various,aircraft,American homebuilt aerobatic aircraft,Wikipedia-sourced via Wikidata,American homebuilt aerobatic aircraft
Whitehead No. 21,aircraft,Gustave Whitehead,1901,Active,,,,,,,,Various,aircraft,Aircraft: Whitehead No. 21. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Whitehead No. 21. Source: Wikidata (links to Wikipedia).
Musger Mg 9,aircraft,Österreichischer Aero-Club,1936,Active,,,102,,,7.35,17.75,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
